Filename,Location,Sample_name,Erinaceus amurensis,Sus scrofa,Rattus norvegicus,Oryctolagus cuniculus,Canis lupus,Erinaceus europaeus,Hemiechinus auritus,Bos taurus,Homo sapiens,Nyctereutes procyonoides,Marmota himalayana,Mustela sibirica,Arctonyx collaris,Rhizomys pruinosus,Vulpes zerda,Ovis orientalis,Urocyon cinereoargenteus,Capra aegagrus,Felis margarita,Paguma larvata,Rattus tiomanicus,Otocyon megalotis,Muntiacus putaoensis,Hystrix brachyura
V300046953_L02_12_1,West market,A88,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L02_12_2,West market,A88,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L02_1_1,East market,E48,0,253,0,0,0,0,0,6059,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
V300046953_L02_1_2,East market,E48,0,246,0,0,0,0,0,5866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L02_30_1,West market,F100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
V300046953_L02_30_2,West market,F100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
V300046953_L02_32_1,West market,B5,0,35,0,0,0,0,0,1156,60,0,0,0,0,0,0,1084,0,15,0,0,15,0,0,0
V300046953_L02_32_2,West market,B5,0,33,0,0,0,0,0,1116,56,0,0,0,0,0,0,1042,0,0,0,0,16,0,0,0
V300046953_L02_33_1,East market,E61,0,18,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L02_33_2,,,0,11,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L02_4_1,West market,A90,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L02_4_2,West market,A90,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L02_5_1,West market,A101,0,61,0,0,12,0,0,10,309,0,0,0,0,0,0,77,0,115,19,0,0,0,0,0
V300046953_L02_5_2,West market,A101,0,56,0,0,12,0,0,10,288,0,0,0,0,0,0,75,0,119,24,0,0,0,0,0
V300046953_L02_6_1,West market,A96,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
V300046953_L02_6_2,West market,A96,0,5,0,0,0,0,0,0,21,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
V300046953_L02_7_1,West market,A14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L02_7_2,West market,A14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L02_8_1,West market,A15,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L02_8_2,West market,A15,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L03_10_1,West market,F46,0,0,0,0,0,0,0,0,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L03_10_2,,,0,0,0,0,0,0,0,0,737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L03_11_1,West market,A87,0,23,0,0,131,0,0,29,74,0,0,0,0,21,0,53,0,63,0,0,0,0,0,0
V300046953_L03_11_2,West market,A87,0,22,0,0,127,0,0,32,75,0,0,0,0,21,0,48,0,68,0,0,0,0,0,0
V300046953_L03_12_1,West market,A88,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L03_12_2,West market,A88,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L03_1_1,East market,E48,0,236,0,0,0,0,0,6076,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
V300046953_L03_1_2,East market,E48,0,241,0,0,0,0,0,5999,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
V300046953_L03_30_1,West market,F100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
V300046953_L03_30_2,West market,F100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
V300046953_L03_32_1,West market,B5,0,30,0,0,0,0,0,1263,65,0,0,0,0,0,0,1072,0,0,0,0,23,0,0,0
V300046953_L03_32_2,West market,B5,0,29,0,0,0,0,0,1269,65,0,0,0,0,0,0,1075,0,22,0,0,19,0,0,0
V300046953_L03_33_1,East market,E61,0,12,0,0,0,0,0,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L03_33_2,,,0,11,0,0,0,0,0,14,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
V300046953_L03_4_1,West market,A90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L03_4_2,West market,A90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L03_5_1,West market,A101,0,62,0,0,7,0,0,14,320,0,0,0,0,0,0,78,0,101,17,0,0,0,0,0
